forum_id,comment_id,message,cleaned_message,sentiment_score
1797623,58207245,episode really fell flat screamed generic shounen shouting screaming heroes ideologies resolved someone believed harder shounen plot armor consistently looks great considering author see going anyway time soon sure would call shounen manga lot deathand shounen kill easy charactersgo read genre tags baka anime manga site hosts series shounen shounen never genre explicitly devoid death death conceptually contradict genre,episode really fell flat screamed generic shounen shouting screaming heroes ideologies resolved someone believed harder shounen plot armor consistently looks great considering author see going anyway time soon sure would call shounen manga lot deathand shounen kill easy charactersgo read genre tags baka anime manga site hosts series shounen shounen never genre explicitly devoid death death conceptually contradict genre,-0.7693
1797623,58207846,really feel pretty let could good villain good villain copped motivations added insult injury defeating generic shit possible someone compared one piece think scene bad guy gloated young luffy strong cowardly survive battlefield,really feel pretty let could good villain good villain copped motivations added insult injury defeating generic shit possible someone compared one piece think scene bad guy gloated young luffy strong cowardly survive battlefield,-0.9395
1797623,58207929,great episode hibana one weird character one minute bad next nice tbh make sense backstory bad nice know got cant wait next episode,great episode hibana one weird character one minute bad next nice tbh make sense backstory bad nice know got cant wait next episode,0.25
1797623,58208082,glad pulled hibana back brink love nun great like little puppy haijime really corrupt,glad pulled hibana back brink love nun great like little puppy haijime really corrupt,0.93
1797623,58208132,survived somehow say episode last one fucking shitshow bad episodes people praising show barely 100 500 posts tells something right like last thread let review episode 6 way episode 5 tell show mal score falling toilet shinra hamming role shonen main boy spamming hero talk may whiny like main boys tell wants hero played wild arms hate character hibana shows looking sexy pretty fucking awesome like god character exist bad show awesome backstory reasons make lot sense lost faith used powers wanted embraces devil shinra rejects got problems anything besides making look like joke wanting shinra cock getting punch face also note dialogue heavily fell relam twirling mustache villian btw backstory really iris backstory save iris later hibana worst thing series imo shinra keeps hero spamming thinks lightheaded state mind uh shinra gets beat gonna learn oh wait getting feeling sense ugh ohh random shonen asspull reveal itself! shinra ignores beign daze confuse power throughs offense fuck plot given power like man defeat turn babyface got good guy punch face move naruto deku shinra turning character babyface punching shit despite disadvantage! serious note makes zero sense shinra asspull defend know plot gave power maybe ability op made think way around fight overall aniamtion pretty sweet even pacing bizarre cuts points hey piece shit looks pretty need right oh iris yeah chilling relaxing hmm uh backstory gonna hide use plot device saying shy anymore shown already legit jsut blackball one characters sake plot hero spamming far eyes see congrats iris upgraded role cheerleader nun made useless words describe kind point sisters useless action wise support bring salvation anything hibana doubting reason sisters exist oh 5th division got job one dude welp know world save one divisions made look liek jobbers know research team look like jsut sad makes 8th look like john cena way handle made really ask really bad stop second catching inferals turning weapons relaly unethical seems useful bad argue goal put rest! get anywhere killing saying latmo hinawa maki trained specifically fight brigades need agreed reflexion following gonna stop looking shady practices 5th dinner party makes whole situation look dumb makes 8th look like bullies said legal headache cleanup going solve hibana working paperwork magic gets scot free blackmailing way top yay! friendship baby! hibana stop unethical research like iris asked understanding closing scene mildly funny seems pointless gonna drop everything closing episode played way manga lsot lot respect author writing really decline since soul eater really starting show leaning plot armor asspulls tell story makes wonder guy wrote soul eater episode bad outright buried one characters reason sake plot weakest arc worry arc felt kind like failed experiment ohkubo sorry inserting answers post know cleanly,survived somehow say episode last one fucking shitshow bad episodes people praising show barely 100 500 posts tells something right like last thread let review episode 6 way episode 5 tell show mal score falling toilet shinra hamming role shonen main boy spamming hero talk may whiny like main boys tell wants hero played wild arms hate character hibana shows looking sexy pretty fucking awesome like god character exist bad show awesome backstory reasons make lot sense lost faith used powers wanted embraces devil shinra rejects got problems anything besides making look like joke wanting shinra cock getting punch face also note dialogue heavily fell relam twirling mustache villian btw backstory really iris backstory save iris later hibana worst thing series imo shinra keeps hero spamming thinks lightheaded state mind uh shinra gets beat gonna learn oh wait getting feeling sense ugh ohh random shonen asspull reveal itself! shinra ignores beign daze confuse power throughs offense fuck plot given power like man defeat turn babyface got good guy punch face move naruto deku shinra turning character babyface punching shit despite disadvantage! serious note makes zero sense shinra asspull defend know plot gave power maybe ability op made think way around fight overall aniamtion pretty sweet even pacing bizarre cuts points hey piece shit looks pretty need right oh iris yeah chilling relaxing hmm uh backstory gonna hide use plot device saying shy anymore shown already legit jsut blackball one characters sake plot hero spamming far eyes see congrats iris upgraded role cheerleader nun made useless words describe kind point sisters useless action wise support bring salvation anything hibana doubting reason sisters exist oh 5th division got job one dude welp know world save one divisions made look liek jobbers know research team look like jsut sad makes 8th look like john cena way handle made really ask really bad stop second catching inferals turning weapons relaly unethical seems useful bad argue goal put rest! get anywhere killing saying latmo hinawa maki trained specifically fight brigades need agreed reflexion following gonna stop looking shady practices 5th dinner party makes whole situation look dumb makes 8th look like bullies said legal headache cleanup going solve hibana working paperwork magic gets scot free blackmailing way top yay! friendship baby! hibana stop unethical research like iris asked understanding closing scene mildly funny seems pointless gonna drop everything closing episode played way manga lsot lot respect author writing really decline since soul eater really starting show leaning plot armor asspulls tell story makes wonder guy wrote soul eater episode bad outright buried one characters reason sake plot weakest arc worry arc felt kind like failed experiment ohkubo sorry inserting answers post know cleanly,0.8927
1797623,58208527,people like episode perfect adaptation manga big anime tiddies gorgeous animation hibana absolute best waifu wait see making lunches shinra,people like episode perfect adaptation manga big anime tiddies gorgeous animation hibana absolute best waifu wait see making lunches shinra,0.9371
1797623,58208759,shinra finally defeated psycho bitch hibana!4 5,shinra finally defeated psycho bitch hibana!4 5,-0.8016
1797623,58208870,yep company 5 charlie angels pretty much fodder shinra real threat upper echelon princess hibana despite perfect adaptation close hibana iris history young sisters nuns convent god sol prayed salvation princess saw powers exploit oh overly shounen traits shinra shake feeling company 5 arc take words wiselykamelot really meh failed experiment give plot armor one characters plus hibana also since company 1 thru 7 investigated sidelines also regardless ended subtle note company 5 done next onward company 1,yep company 5 charlie angels pretty much fodder shinra real threat upper echelon princess hibana despite perfect adaptation close hibana iris history young sisters nuns convent god sol prayed salvation princess saw powers exploit oh overly shounen traits shinra shake feeling company 5 arc take words wiselykamelot really meh failed experiment give plot armor one characters plus hibana also since company 1 thru 7 investigated sidelines also regardless ended subtle note company 5 done next onward company 1,-0.6878
1797623,58208884,kind friendship power episode captain admitting feelings shinra awesome xd,kind friendship power episode captain admitting feelings shinra awesome xd,0.9349
1797623,58208928,shonen ish episode anime seen kinda painful watch honest however production values maki keep seeing weekly,shonen ish episode anime seen kinda painful watch honest however production values maki keep seeing weekly,0.4818
